,Date,Rounded_Time,Return,Positive,Negative
3268,09/03/2018,13:30,0.0010478707523580155,1,0
3269,09/03/2018,14:00,0.00015170716845425147,0,1
3285,09/05/2018,14:00,-0.002075648193192059,1,0
3299,09/07/2018,11:30,-0.007955237934740289,1,0
3303,09/07/2018,15:00,0.00018874593188300537,0,1
3310,09/10/2018,14:30,-0.0020469230474429168,1,0
3313,09/11/2018,10:30,-0.0020270962041148977,1,0
3315,09/11/2018,11:30,0.006215260646812659,1,0
3319,09/11/2018,15:00,0.0032513019742346216,0,1
3323,09/12/2018,11:30,-0.0028574778155654457,0,1
3328,09/13/2018,10:00,0.0004216771992959778,0,1
3349,09/17/2018,14:00,0.0010847050138904635,1,0
3353,09/18/2018,10:30,-0.00012049281576231863,0,1
3372,09/20/2018,13:30,0.0007330062010666438,1,0
3376,09/21/2018,10:00,-0.0015814273478254037,0,1
3383,09/21/2018,15:00,0.001967990387306884,1,0
3384,09/25/2018,10:00,0.0020914522693074034,1,0
3389,09/25/2018,14:00,0.0006982788071772106,0,1
3391,09/25/2018,15:00,-0.00020852583099451039,0,1
3395,09/26/2018,11:30,-0.0018233421156539364,0,1
3417,10/08/2018,10:30,-0.0026924078418764097,1,0
3421,10/08/2018,14:00,-0.0010839832514815129,0,1
3429,10/09/2018,14:00,-0.0006833060521698187,1,0
3434,10/10/2018,11:00,-0.007349605155632766,1,0
3438,10/10/2018,14:30,0.001966590658605938,0,1
3442,10/11/2018,11:00,-0.011848403522343176,1,0
3451,10/12/2018,11:30,0.014239116457972933,1,0
3453,10/12/2018,14:00,-0.002590804482802689,1,0
3454,10/12/2018,14:30,0.006218741808111439,0,1
3457,10/15/2018,10:30,-0.003449913528332793,0,1
3464,10/16/2018,10:00,0.010039937631387552,0,1
3466,10/16/2018,11:00,-0.005706442877493778,0,1
3468,10/16/2018,13:30,0.0028042315507885718,0,1
3477,10/17/2018,14:00,0.00619477455050621,1,0
3478,10/17/2018,14:30,0.005899837613264403,1,0
3481,10/18/2018,10:30,-0.0014686971725978992,0,1
3483,10/18/2018,11:30,-0.0021922722263019168,1,0
3486,10/18/2018,14:30,-0.0022783461328916843,1,0
3487,10/18/2018,15:00,-0.006825855632389022,0,1
3492,10/19/2018,13:30,0.008646273696317763,1,0
3502,10/22/2018,14:30,-0.004758000238769711,1,0
3504,10/23/2018,10:00,-0.0036899086909993883,1,0
3505,10/23/2018,10:30,-0.004084788630585479,1,0
3507,10/23/2018,11:30,-0.004211222541028015,1,0
3514,10/24/2018,11:00,-0.0018236817583394682,1,0
3516,10/24/2018,13:30,-0.006621040489011243,1,0
3522,10/25/2018,11:00,-0.002147200712938613,0,1
3526,10/25/2018,14:30,0.01241521460885231,1,0
3527,10/25/2018,15:00,0.0008414323287544434,1,0
3529,10/26/2018,10:30,-0.006800119523543202,1,0
3532,10/26/2018,13:30,0.0020955023847379906,1,0
3544,10/30/2018,10:00,-0.0017742245380913957,1,0
3552,10/31/2018,10:00,0.00537609654715876,1,0
3555,10/31/2018,11:30,0.004186568599873652,1,0
3557,10/31/2018,14:00,0.0004687115895984917,0,1
3559,10/31/2018,15:00,0.0005841615526493982,0,1
3570,11/02/2018,11:00,0.0010236540791739301,1,0
3579,11/05/2018,11:30,-0.0026607688204878244,1,0
3583,11/05/2018,15:00,0.001892666858631209,1,0
3587,11/06/2018,11:30,-0.004362284003606831,0,1
3588,11/06/2018,13:30,0.0007125855025060801,1,0
3609,11/09/2018,10:30,0.00039425158737671495,0,1
3610,11/09/2018,11:00,-0.0007043089451288509,0,1
3611,11/09/2018,11:30,-0.0037254851011905288,0,1
3614,11/09/2018,14:30,-0.001037288697431471,1,0
3615,11/09/2018,15:00,-0.0010960295986821578,0,1
3617,11/12/2018,10:30,0.0046701127100137185,0,1
3625,11/13/2018,10:30,0.0010429421845081777,1,0
3626,11/13/2018,11:00,-0.0011119412542885954,1,0
3628,11/13/2018,13:30,0.00714668437275634,0,1
3645,11/15/2018,14:00,-0.0008621290602759402,1,0
3678,11/21/2018,14:30,-0.0004647516212994418,0,1
3679,11/21/2018,15:00,0.002401514560743223,1,0
3687,11/22/2018,15:00,-0.0008275002597626369,0,1
3690,11/23/2018,11:00,-0.0011783295865415155,1,0
3701,11/26/2018,14:00,-0.0018460135626687801,1,0
3712,11/28/2018,10:00,-0.004311441709399233,1,0
3737,12/03/2018,10:30,0.006415543110118271,1,0
3740,12/03/2018,13:30,-0.002089535049677238,1,0
3744,12/04/2018,10:00,0.0012098758997520775,0,1
3762,12/06/2018,11:00,-0.0017853060361083806,1,0
3773,12/07/2018,14:00,-0.0014958579039650033,1,0
3774,12/07/2018,14:30,-0.0006529245489605984,1,0
3800,12/13/2018,10:00,0.0006020111956503982,0,1
3803,12/13/2018,11:30,0.002082505816895619,0,1
3805,12/13/2018,14:00,-0.0007278324183959128,0,1
3807,12/13/2018,15:00,-0.00017841653475070274,1,0
3809,12/14/2018,10:30,-0.0029756703858065947,0,1
3816,12/17/2018,10:00,-0.002972805682407653,1,0
3823,12/17/2018,15:00,0.0027212054842600253,0,1
3845,12/20/2018,14:00,0.007427005877874038,0,1
3852,12/21/2018,13:30,-0.0012713597089346607,0,1
3857,12/24/2018,10:30,-0.0007855553446800556,1,0
3858,12/24/2018,11:00,-0.0010125658288338002,0,1
3859,12/24/2018,11:30,0.0012107716475417973,1,0
3863,12/24/2018,15:00,0.0022502455843991243,1,0
3878,12/26/2018,14:30,0.0017047368589935274,1,0
3884,12/27/2018,13:30,-0.006554048235254406,1,0
3886,12/27/2018,14:30,0.000361013730465487,0,1
3887,12/27/2018,15:00,-0.00438810452772298,1,0
3904,01/03/2019,10:00,0.005731417492966351,1,0
3907,01/03/2019,11:30,-0.00015817939604367837,0,1
3909,01/03/2019,14:00,0.001755905340312225,1,0
3918,01/04/2019,14:30,0.0021097981541462474,0,1
3940,01/09/2019,13:30,0.0009072732390729144,1,0
3942,01/09/2019,14:30,-0.0021797820255651246,1,0
3945,01/10/2019,10:30,-0.00014942569441878106,1,0
3952,01/11/2019,10:00,0.003977039050724329,1,0
3955,01/11/2019,11:30,0.00024037751206762437,1,0
3968,01/15/2019,10:00,-0.0010686057684532457,1,0
3992,01/18/2019,10:00,0.006207956700833073,0,1
3993,01/18/2019,10:30,-0.0027712605258152223,1,0
4003,01/21/2019,11:30,-0.0009484582528909158,1,0
4008,01/22/2019,10:00,-0.0036931434812155217,1,0
4024,01/24/2019,10:00,-0.003499820442409707,0,1
4032,01/25/2019,10:00,0.003080457697215877,0,1
4036,01/25/2019,13:30,0.0024448671908841035,1,0
4067,01/31/2019,11:30,-0.004265843581716666,1,0
4077,02/01/2019,14:00,0.0025559168389754916,0,1
4080,02/11/2019,10:00,0.0014684009689851507,1,0
4084,02/11/2019,13:30,0.0008897926234476827,1,0
4089,02/12/2019,10:30,0.00039874508679993426,1,0
4102,02/13/2019,14:30,0.003894726086556055,1,0
4106,02/14/2019,11:00,-0.0037990704633843464,0,1
4107,02/14/2019,11:30,0.0012838061445483717,0,1
4125,02/18/2019,14:00,0.0012694060301532417,1,0
4128,02/19/2019,10:00,0.003833916733232634,1,0
4129,02/19/2019,10:30,-0.0028024238499142484,1,0
4143,02/20/2019,15:00,0.0013626449012438258,0,1
4144,02/21/2019,10:00,-0.00034789415671276913,0,1
4149,02/21/2019,14:00,-0.006755724577758748,0,1
4152,02/22/2019,10:00,-0.0029248466913518456,0,1
4199,03/01/2019,15:00,0.008152688393484375,1,0
4200,03/04/2019,10:00,0.0011565158023447708,0,1
4204,03/04/2019,13:30,-0.003760873147909294,1,0
4205,03/04/2019,14:00,0.002693178370016369,1,0
4212,03/05/2019,13:30,0.002251306658740404,0,1
4214,03/05/2019,14:30,0.002297188521017901,1,0
4219,03/06/2019,11:30,0.005960241608351069,0,1
4220,03/06/2019,13:30,0.00010053820379241074,0,1
4232,03/08/2019,10:00,0.0030627694004472517,1,0
4240,03/11/2019,10:00,0.0046404887061575195,0,1
4260,03/13/2019,13:30,0.0009572641337349808,1,0
4266,03/14/2019,11:00,-0.0012322041902947944,1,0
4269,03/14/2019,14:00,0.0007074826594770656,1,0
4270,03/14/2019,14:30,-0.004738117198600733,0,1
4280,03/18/2019,10:00,0.002717751481515762,0,1
4282,03/18/2019,11:00,0.0036223787636497917,1,0
4289,03/19/2019,10:30,0.0029663794667555976,1,0
4290,03/19/2019,11:00,-0.002723847599618523,1,0
4303,03/20/2019,15:00,0.0005404871960053015,1,0
4307,03/21/2019,11:30,0.0030888826483206344,0,1
4311,03/21/2019,15:00,-0.0029619634990236676,1,0
4314,03/22/2019,11:00,-0.003708832040954846,0,1
4315,03/22/2019,11:30,0.0014177112195117303,1,0
4319,03/22/2019,15:00,0.0021445913744777556,1,0
4320,03/25/2019,10:00,0.005317990788457294,1,0
4331,03/26/2019,11:30,-0.007420374510854089,1,0
4340,03/27/2019,13:30,-0.0011820214604920665,1,0
4341,03/27/2019,14:00,0.000514764622794317,1,0
4342,03/27/2019,14:30,2.6558925958042323e-05,0,1
4344,03/28/2019,10:00,-0.0017491533039688534,1,0
4346,03/28/2019,11:00,0.0015209833983771404,1,0
4353,03/29/2019,10:30,0.01163204111732341,0,1
4363,04/01/2019,11:30,0.0003290129325446145,0,1
4384,04/04/2019,10:00,0.0025387622506141128,1,0
