,Date,Rounded_Time,Return,Positive,Negative
1086,09/17/2019,13:00,0.00028035231123801907,1,0
1087,09/17/2019,12:30,-0.00045052787610622147,0,1
1088,09/17/2019,12:00,-0.0005336962594491013,1,0
1095,09/16/2019,16:00,5.3371048887029815e-05,0,1
1096,09/16/2019,15:30,0.00037032774428169546,1,0
1100,09/16/2019,13:30,0.0006138448900010474,1,0
1102,09/16/2019,12:30,0.000290538951794872,1,0
1111,09/13/2019,15:30,0.00035259641049734114,1,0
1133,09/12/2019,12:00,-0.00031515549867222603,1,0
1148,09/11/2019,12:00,0.00023397677051839594,1,0
1166,09/10/2019,10:30,-0.0016070009265147789,1,0
1167,09/10/2019,10:00,0.0014583511741559363,1,0
1168,09/10/2019,9:30,-0.003675532537248394,1,0
1172,09/09/2019,15:00,0.0011226627779530318,1,0
1183,09/09/2019,9:30,-0.0027376208523310908,0,1
1197,09/06/2019,10:00,0.0013762178341378828,1,0
1198,09/06/2019,9:30,-0.0010810013406983288,0,1
1202,09/05/2019,15:00,0.0008158044938983977,1,0
1230,09/03/2019,16:00,-4.817055128736314e-05,1,0
1243,09/03/2019,9:30,0.0010101427427766652,1,0
1247,08/30/2019,15:00,0.0005956415646357627,1,0
1249,08/30/2019,14:00,0.0010568240516697358,0,1
1250,08/30/2019,13:30,-0.0005165792987105178,1,0
1251,08/30/2019,13:00,-0.0012134202332099164,0,1
1252,08/30/2019,12:30,0.00061165111824657,0,1
1261,08/29/2019,15:30,0.0008175902070943764,1,0
1266,08/29/2019,13:00,-0.00034518054823173827,0,1
1282,08/28/2019,12:30,0.0011472919452399921,0,1
1299,08/27/2019,11:30,-0.0002921962744899531,0,1
1311,08/26/2019,13:00,-0.0004453940070714424,0,1
1314,08/26/2019,11:30,-0.00023004852033814416,1,0
1324,08/23/2019,14:00,-0.0013756649178811031,1,0
1357,08/21/2019,12:30,0.0004136066386424275,0,1
1359,08/21/2019,11:30,0.0006868566328730452,1,0
1367,08/20/2019,15:00,0.0002818615253614709,1,0
1371,08/20/2019,13:00,-0.0007713206247865756,1,0
1391,08/19/2019,10:30,0.0009418179836799823,0,1
1392,08/19/2019,10:00,-0.0007158453874209769,0,1
1396,08/16/2019,15:30,0.0006649074569144986,1,0
1403,08/16/2019,12:00,-0.0004815212005668812,0,1
1406,08/16/2019,10:30,0.004939035276438908,1,0
1412,08/15/2019,15:00,0.0009528783093806226,0,1
1413,08/15/2019,14:30,0.00044684246732096256,0,1
1414,08/15/2019,14:00,0.004861262774816133,0,1
1420,08/15/2019,11:00,-0.0007975588798085909,1,0
1422,08/15/2019,10:00,-0.001982369843524623,1,0
1433,08/14/2019,12:00,-0.0017120144503719459,1,0
1434,08/14/2019,11:30,-0.0013353517069916165,0,1
1441,08/13/2019,15:30,-0.0010587541161903857,1,0
1448,08/13/2019,12:00,0.00038203481756937663,0,1
1453,08/13/2019,9:30,0.017958250893461702,1,0
1455,08/12/2019,16:00,0.00016305488567613935,0,1
1458,08/12/2019,14:30,-0.002288906753014075,1,0
1475,08/09/2019,13:30,5.473996805971382e-05,0,1
1501,08/07/2019,15:30,-0.001043271599970197,1,0
1504,08/07/2019,14:00,0.0010822643695149736,0,1
1513,08/07/2019,9:30,-0.006982148310798131,0,1
1516,08/06/2019,15:30,0.0016465597923067676,1,0
1525,08/06/2019,11:00,-0.002298686702775221,0,1
1536,08/05/2019,13:00,0.0020627026604023158,1,0
1538,08/05/2019,12:00,-0.0021868240392350913,1,0
1539,08/05/2019,11:30,-0.001663078821695585,1,0
1540,08/05/2019,11:00,0.0006411909644485903,1,0
1546,08/02/2019,15:30,-0.0004944392733241543,0,1
1551,08/02/2019,13:00,-0.0010027671049703812,1,0
1552,08/02/2019,12:30,-0.0034148840026020366,0,1
1565,08/01/2019,13:30,-0.005784564369351486,1,0
1568,08/01/2019,12:00,-0.0007778712649688657,1,0
1570,08/01/2019,11:00,0.0016743856193901507,1,0
1571,08/01/2019,10:30,0.0018770410838726548,1,0
1572,08/01/2019,10:00,0.0031129234712583553,1,0
1573,08/01/2019,9:30,0.003871275053499268,0,1
1587,07/31/2019,10:00,-0.0010388576819853057,0,1
1588,07/31/2019,9:30,-0.0005836821220697175,0,1
1592,07/30/2019,14:30,-0.0007230946109508807,1,0
1598,07/30/2019,11:30,-0.0010561241229947171,0,1
1599,07/30/2019,11:00,0.0004714616393926008,0,1
1605,07/29/2019,15:30,0.0004039280400842671,0,1
1608,07/29/2019,14:00,0.0003641033829016038,1,0
1612,07/29/2019,12:00,-0.0006190157186001244,0,1
1625,07/26/2019,13:00,9.922997547384682e-05,1,0
1628,07/26/2019,11:30,0.0009497541115699448,1,0
1631,07/26/2019,10:00,-0.0004506728688387085,0,1
1632,07/26/2019,9:30,0.0016778416154554776,0,1
1634,07/25/2019,16:00,-0.0002596486103421114,1,0
1642,07/25/2019,12:00,-0.00024953046813358526,1,0
1649,07/24/2019,16:00,-9.935172997188602e-06,1,0
1652,07/24/2019,14:30,0.0007664272095162517,0,1
1655,07/24/2019,13:00,-0.00012624375027137091,1,0
1657,07/24/2019,12:00,0.0007585966326750793,0,1
1662,07/24/2019,9:30,0.002198483932197348,1,0
1692,07/22/2019,9:30,0.0016418824348019,1,0
1696,07/19/2019,15:00,-0.0016742738401447355,0,1
1707,07/19/2019,9:30,-0.0006659430332085492,0,1
1710,07/18/2019,15:30,0.0007815971031224223,0,1
1711,07/18/2019,15:00,-0.0008483832796191138,0,1
1727,07/17/2019,14:30,-0.00012363107833834874,0,1
1734,07/17/2019,11:00,0.00048763870279167065,1,0
1737,07/17/2019,9:30,-0.0010487677940833606,0,1
1751,07/16/2019,10:00,7.633296442755011e-05,1,0
1754,07/15/2019,16:00,-3.317514318368353e-06,1,0
1767,07/15/2019,9:30,-0.0017378734665332018,0,1
1770,07/12/2019,15:30,0.001338170426231855,1,0
1771,07/12/2019,15:00,-9.635367787730331e-05,1,0
1779,07/12/2019,11:00,0.0012514063311463985,1,0
1782,07/12/2019,9:30,0.0002929622499152629,1,0
1796,07/11/2019,10:00,-0.0014144604224402002,1,0
1797,07/11/2019,9:30,5.000508386210356e-05,0,1
1808,07/10/2019,11:30,0.0019498757822997703,1,0
1817,07/09/2019,14:30,-4.368918172570346e-05,1,0
1827,07/09/2019,9:30,0.0007112579621120219,1,0
1834,07/08/2019,13:30,-3.3628422739795383e-06,1,0
1838,07/08/2019,11:30,-0.0003966653272398091,1,0
1842,07/08/2019,9:30,-0.0022342098598260307,0,1
1857,07/05/2019,9:30,-0.003151479926248868,0,1
1865,07/03/2019,10:00,0.0010057529914071495,1,0
1866,07/03/2019,9:30,0.0010772951873949665,1,0
1878,07/02/2019,11:00,-0.0008496692870219036,1,0
1881,07/02/2019,9:30,-0.0011610091282339141,1,0
1892,07/01/2019,11:30,0.00043207189268201773,1,0
1893,07/01/2019,11:00,-0.001484490721269438,1,0
1894,07/01/2019,10:30,7.417297140310808e-05,1,0
1895,07/01/2019,10:00,-0.0012096850397638192,1,0
1896,07/01/2019,9:30,-0.0006093240226832108,1,0
1920,06/27/2019,12:30,0.00035205551219430475,1,0
1928,06/26/2019,16:00,3.4319739858901244e-06,0,1
1929,06/26/2019,15:30,-0.0008473777255622039,1,0
1930,06/26/2019,15:00,-0.00011315766475217259,0,1
1932,06/26/2019,14:00,5.481291667752686e-05,0,1
1934,06/26/2019,13:00,-0.001591438739516171,0,1
1937,06/26/2019,11:30,-5.472087226454647e-05,0,1
1945,06/25/2019,15:00,0.00010265324427471967,0,1
1947,06/25/2019,14:00,-0.0012577199335259692,0,1
1976,06/21/2019,14:30,0.0003182147502460708,1,0
1995,06/20/2019,12:30,0.0006018658020980894,0,1
2004,06/19/2019,15:30,-0.0004714274089110404,1,0
2005,06/19/2019,15:00,0.0014491319707827799,1,0
2015,06/19/2019,10:00,-0.001312068648741338,0,1
2019,06/18/2019,15:30,-0.0008427601921221495,1,0
2036,06/17/2019,14:00,-0.0006219421379674017,1,0
2043,06/17/2019,10:30,0.00027977873484186233,1,0
2051,06/14/2019,14:00,0.0012652810351561072,0,1
2052,06/14/2019,13:30,-0.00041962820170482473,0,1
2055,06/14/2019,12:00,-0.0001317641839113648,0,1
2062,06/13/2019,16:00,-0.0002040156511284863,0,1
2064,06/13/2019,15:00,-0.001105307493662444,1,0
2066,06/13/2019,14:00,-0.0006954331773529887,0,1
2068,06/13/2019,13:00,-0.0002869842299393355,0,1
2099,06/11/2019,12:30,-0.0011837381468025043,1,0
2112,06/10/2019,13:30,-0.0008844635579912108,0,1
2113,06/10/2019,13:00,0.0003143084635297555,1,0
2118,06/10/2019,10:30,0.00022788796297668057,0,1
2129,06/07/2019,12:30,0.0012223497024965724,1,0
2135,06/07/2019,9:30,0.005191783839193498,0,1
2141,06/06/2019,14:00,4.233924319230198e-05,1,0
2143,06/06/2019,13:00,0.00022238106675764868,0,1
2146,06/06/2019,11:30,-0.00212953511481917,0,1
2173,06/04/2019,13:00,0.00023275342028838963,1,0
2180,06/04/2019,9:30,0.002061118289308439,0,1
2188,06/03/2019,13:00,0.0029027067316684807,0,1
2198,05/31/2019,15:30,-0.0009442939925472515,1,0
2199,05/31/2019,15:00,-0.0012660594417290838,0,1
2201,05/31/2019,14:00,-0.003084593085050713,0,1
2210,05/31/2019,9:30,-0.0034439149051417317,0,1
2212,05/30/2019,16:00,1.4342880910511724e-05,0,1
2221,05/30/2019,11:30,-0.0008791998054338279,1,0
2222,05/30/2019,11:00,-0.0006239466620474587,1,0
2223,05/30/2019,10:30,-0.0021055956442941337,1,0
2225,05/30/2019,9:30,0.0033207091045168724,0,1
2238,05/29/2019,10:30,-0.00315438995925188,0,1
2242,05/28/2019,16:00,0.0002890807786766203,1,0
2245,05/28/2019,14:30,-0.001373516897772653,0,1
2259,05/24/2019,15:00,0.0005654489638615701,1,0
2261,05/24/2019,14:00,-0.0007317112294193961,1,0
2263,05/24/2019,13:00,-0.0011903648972841907,0,1
2264,05/24/2019,12:30,0.0012928661035305211,1,0
2288,05/22/2019,15:30,-0.0014728753989921017,1,0
2296,05/22/2019,11:30,-0.0007028598993086277,1,0
2299,05/22/2019,10:00,0.0003810502700352103,1,0
2302,05/21/2019,16:00,-8.029394570563397e-05,1,0
2303,05/21/2019,15:30,-0.0007085131816317869,0,1
2311,05/21/2019,11:30,-0.0014567153824582846,1,0
2314,05/21/2019,10:00,0.0003918851826583136,1,0
2323,05/20/2019,13:00,0.000717355100423589,1,0
2325,05/20/2019,12:00,0.0005444604794728747,0,1
2335,05/17/2019,14:30,0.00042100795491872844,1,0
2341,05/17/2019,11:30,-0.0019354026517675038,0,1
