Time,Open,High,Low,Last,Change,Volume
12/16/2019 11:30,3195.61,3196.81,3194.55,3196.5,0.88,0
12/16/2019 11:00,3194.94,3195.84,3193.82,3195.62,0.68,0
12/16/2019 10:30,3195.6,3196.66,3194.39,3194.94,-0.66,0
12/16/2019 10:00,3190.13,3196.58,3190.05,3195.6,5.8,0
12/16/2019 9:30,3183.63,3192.91,3183.63,3189.8,21,0
12/13/2019 17:00,3168.8,3168.8,3168.8,3168.8,0,0
12/13/2019 16:00,3168.86,3168.86,3168.74,3168.8,0.27,0
12/13/2019 15:30,3167.88,3171.01,3167.71,3168.53,0.65,0
12/13/2019 15:00,3169.05,3169.92,3167.88,3167.88,-1.18,0
12/13/2019 14:30,3168.83,3169.78,3167.19,3169.06,0.2,0
12/13/2019 14:00,3170.43,3171.15,3168.72,3168.86,-1.57,0
12/13/2019 13:30,3169.26,3171.01,3168.31,3170.43,1.17,0
12/13/2019 13:00,3170.99,3171.73,3169.26,3169.26,-1.72,0
12/13/2019 12:30,3168.83,3171.01,3167.42,3170.98,2.17,0
12/13/2019 12:00,3167.23,3169.25,3165.65,3168.81,1.59,0
12/13/2019 11:30,3157.42,3167.27,3157.03,3167.22,9.7,0
12/13/2019 11:00,3161.9,3167.51,3156.51,3157.52,-4.42,0
12/13/2019 10:30,3172.94,3172.94,3161.91,3161.94,-11.02,0
12/13/2019 10:00,3169.52,3182.68,3167.35,3172.96,3.55,0
12/13/2019 9:30,3166.65,3170.75,3160.16,3169.41,0.84,0
12/12/2019 16:30,3168.57,3168.57,3168.57,3168.57,0,0
12/12/2019 16:00,3168.32,3168.58,3168.32,3168.57,0.55,0
12/12/2019 15:30,3168.24,3173.11,3164.58,3168.02,-0.21,0
12/12/2019 15:00,3163.72,3168.39,3163.14,3168.23,4.53,0
12/12/2019 14:30,3156.51,3169.26,3155.75,3163.7,7.17,0
12/12/2019 14:00,3158.64,3160.09,3154.7,3156.53,-2.12,0
12/12/2019 13:30,3159.83,3160.29,3157.02,3158.65,-1.19,0
12/12/2019 13:00,3156.61,3161.72,3156.57,3159.84,3.24,0
12/12/2019 12:30,3152.25,3160.32,3152.19,3156.6,4.37,0
12/12/2019 12:00,3158.11,3158.11,3150.3,3152.23,-5.88,0
12/12/2019 11:30,3160.71,3162.88,3153.83,3158.11,-2.63,0
12/12/2019 11:00,3170.02,3170.5,3160.74,3160.74,-9.26,0
12/12/2019 10:30,3173.88,3174.23,3164.64,3170,-3.87,0
12/12/2019 10:00,3164.92,3176.28,3164.92,3173.87,8.87,0
12/12/2019 9:30,3141.23,3165,3138.47,3165,23.37,0
12/11/2019 17:00,3141.63,3141.63,3141.63,3141.63,0,0
12/11/2019 16:00,3141.36,3141.63,3141.36,3141.63,0.29,0
12/11/2019 15:30,3141.1,3143.37,3138.03,3141.34,0.25,0
12/11/2019 15:00,3143.34,3143.98,3139.11,3141.09,-2.24,0
12/11/2019 14:30,3139.65,3143.54,3138.31,3143.33,3.67,0
12/11/2019 14:00,3135.8,3141.15,3134.89,3139.66,3.85,0
12/11/2019 13:30,3135.16,3135.82,3133.21,3135.81,0.66,0
12/11/2019 13:00,3134.95,3135.57,3133.94,3135.15,0.2,0
12/11/2019 12:30,3134.31,3135.18,3133.37,3134.95,0.64,0
12/11/2019 12:00,3134.36,3135.47,3133.68,3134.31,-0.01,0
12/11/2019 11:30,3136.4,3137.77,3133.98,3134.32,-2.07,0
12/11/2019 11:00,3135.77,3137.04,3133.54,3136.39,0.63,0
12/11/2019 10:30,3139.28,3139.32,3135.51,3135.76,-3.56,0
12/11/2019 10:00,3141.44,3142.31,3138.74,3139.32,-2.03,0
12/11/2019 9:30,3135.75,3141.35,3134.13,3141.35,8.83,0
12/10/2019 17:00,3132.52,3132.52,3132.52,3132.52,0,0
12/10/2019 16:00,3132.72,3132.72,3132.49,3132.52,-0.09,0
12/10/2019 15:30,3133.74,3133.88,3127.78,3132.61,-1.12,0
12/10/2019 15:00,3136.13,3137.33,3133.61,3133.73,-2.44,0
12/10/2019 14:30,3136.5,3137.59,3135.02,3136.17,-0.34,0
12/10/2019 14:00,3135.51,3138.49,3135.14,3136.51,1.01,0
12/10/2019 13:30,3136.7,3136.89,3135.06,3135.5,-1.2,0
12/10/2019 13:00,3136.57,3138.25,3136.3,3136.7,0.13,0
12/10/2019 12:30,3133.75,3137.12,3132.87,3136.57,2.83,0
12/10/2019 12:00,3136.88,3137.2,3133.55,3133.74,-3.14,0
12/10/2019 11:30,3138.26,3139.43,3136.28,3136.88,-1.37,0
12/10/2019 11:00,3140.21,3142.12,3133.73,3138.25,-1.97,0
12/10/2019 10:30,3141.07,3141.22,3137.1,3140.22,-0.99,0
12/10/2019 10:00,3132.28,3141.29,3131.75,3141.21,9.24,0
12/10/2019 9:30,3135.36,3135.62,3126.09,3131.97,-3.99,0
12/9/2019 17:00,3135.96,3135.96,3135.96,3135.96,0,0
12/9/2019 16:00,3135.89,3135.99,3135.89,3135.96,0.46,0
12/9/2019 15:30,3141.1,3141.18,3135.46,3135.5,-5.6,0
12/9/2019 15:00,3140.22,3141.56,3139.23,3141.1,0.91,0
12/9/2019 14:30,3138.68,3140.68,3138.28,3140.19,1.51,0
12/9/2019 14:00,3141.54,3141.65,3136.64,3138.68,-2.87,0
12/9/2019 13:30,3141.21,3142.43,3140.67,3141.55,0.35,0
12/9/2019 13:00,3142.34,3142.84,3140.56,3141.2,-1.16,0
12/9/2019 12:30,3142.5,3143.1,3140.64,3142.36,-0.13,0
12/9/2019 12:00,3143.06,3144.18,3141.77,3142.49,-0.56,0
12/9/2019 11:30,3144.94,3145.14,3142.78,3143.05,-1.67,0
12/9/2019 11:00,3147.4,3147.44,3143.75,3144.72,-2.65,0
12/9/2019 10:30,3147.01,3148.45,3146.14,3147.37,0.34,0
12/9/2019 10:00,3146.77,3148.87,3146.77,3147.03,0.17,0
12/9/2019 9:30,3141.86,3148.38,3140.91,3146.86,0.95,0
12/6/2019 17:00,3145.91,3145.91,3145.91,3145.91,0,0
12/6/2019 16:00,3145.82,3145.92,3145.82,3145.91,0.39,0
12/6/2019 15:30,3147.12,3149.91,3144.36,3145.52,-1.62,0
12/6/2019 15:00,3147.03,3147.44,3145.81,3147.14,0.11,0
12/6/2019 14:30,3148.57,3148.61,3146.74,3147.03,-1.54,0
12/6/2019 14:00,3148.28,3148.93,3146.72,3148.57,0.28,0
12/6/2019 13:30,3149.58,3149.97,3148.27,3148.29,-1.31,0
12/6/2019 13:00,3149.67,3150.6,3149.02,3149.6,-0.06,0
12/6/2019 12:30,3149.26,3150.37,3148.66,3149.66,0.4,0
12/6/2019 12:00,3148.61,3149.37,3148.08,3149.26,0.62,0
12/6/2019 11:30,3149.15,3150.16,3148.32,3148.64,-0.49,0
12/6/2019 11:00,3146.77,3149.18,3146.42,3149.13,2.36,0
12/6/2019 10:30,3144.26,3147.86,3142.7,3146.77,2.47,0
12/6/2019 10:00,3144.24,3145.97,3142.88,3144.3,0.06,0
12/6/2019 9:30,3134.62,3144.83,3134.62,3144.24,26.81,0
12/5/2019 17:00,3117.43,3117.43,3117.43,3117.43,0,0
12/5/2019 16:00,3117.89,3117.89,3117.43,3117.43,-0.5,0
12/5/2019 15:30,3118.41,3119.45,3115.37,3117.93,-0.5,0
12/5/2019 15:00,3113.44,3118.43,3113.32,3118.43,5.02,0
12/5/2019 14:30,3115.81,3117.31,3109.74,3113.41,-2.39,0
