trade_time,open,close,high,low,volume,money
2018-11-16 10:00:00,2669.78,2667.61,2676.23,2662.07,5383702800.0,46103818240.0
2018-11-16 10:30:00,2667.5,2658.59,2669.86,2658.41,2861770800.0,24767188992.0
2018-11-16 11:00:00,2658.2,2667.13,2669.77,2657.18,2315916800.0,18385223680.0
2018-11-16 11:30:00,2666.68,2687.04,2687.25,2666.42,2563512800.0,21667299328.0
2018-11-16 13:30:00,2687.26,2683.02,2694.86,2681.32,3323045600.0,28406546432.0
2018-11-16 14:00:00,2683.61,2695.14,2695.55,2683.2,2407164800.0,20681064448.0
2018-11-16 14:30:00,2694.76,2679.93,2695.17,2678.89,2455646400.0,20298170368.0
2018-11-16 15:00:00,2679.69,2679.11,2683.19,2677.24,2909124800.0,24674287616.0
2018-11-19 10:00:00,2681.9,2693.19,2693.7,2674.26,6270045200.0,52329603072.0
2018-11-19 10:30:00,2693.32,2692.53,2695.46,2683.19,3452262000.0,30353391616.0
2018-11-19 11:00:00,2692.53,2681.35,2692.58,2675.47,2627413600.0,22949298176.0
2018-11-19 11:30:00,2681.69,2685.1,2688.34,2681.04,1670060000.0,14373683200.0
2018-11-19 13:30:00,2685.12,2688.27,2690.71,2684.68,1665408000.0,14313406464.0
2018-11-19 14:00:00,2688.54,2689.24,2696.23,2687.85,2077268800.0,17833549824.0
2018-11-19 14:30:00,2689.12,2695.52,2696.56,2688.64,2020468800.0,16517824512.0
2018-11-19 15:00:00,2695.23,2703.51,2703.51,2695.23,3383356800.0,27891957760.0
2018-11-20 10:00:00,2684.29,2683.75,2690.83,2679.24,5874202000.0,50519810048.0
2018-11-20 10:30:00,2682.88,2670.91,2682.94,2670.12,3051384400.0,25967337472.0
2018-11-20 11:00:00,2670.19,2671.11,2676.98,2669.38,2026561600.0,17222926336.0
2018-11-20 11:30:00,2670.68,2659.37,2670.97,2659.23,2150158400.0,17864048640.0
2018-11-20 13:30:00,2659.37,2658.09,2663.22,2657.85,1491300000.0,12400205824.0
2018-11-20 14:00:00,2658.2,2657.64,2661.74,2654.84,1755188800.0,14157668352.0
2018-11-20 14:30:00,2657.71,2652.38,2658.71,2650.45,1900710400.0,15708504064.0
2018-11-20 15:00:00,2653.13,2645.85,2653.13,2643.38,3339625600.0,27029913600.0
2018-11-21 10:00:00,2619.82,2637.75,2642.65,2618.09,5478455600.0,44305281024.0
2018-11-21 10:30:00,2636.51,2636.42,2649.62,2634.72,2922902000.0,23710224384.0
2018-11-21 11:00:00,2636.15,2639.23,2640.05,2627.96,2126024800.0,18329862144.0
2018-11-21 11:30:00,2639.48,2642.46,2645.37,2637.71,1317118400.0,10858053632.0
2018-11-21 13:30:00,2643.02,2644.22,2644.83,2639.4,1335270400.0,10427441152.0
2018-11-21 14:00:00,2644.62,2647.67,2653.8,2644.62,1556044800.0,12650250240.0
2018-11-21 14:30:00,2647.19,2645.96,2647.88,2642.46,1310467200.0,10716209152.0
2018-11-21 15:00:00,2645.15,2651.51,2651.51,2641.82,2213361600.0,18378457088.0
2018-11-22 10:00:00,2655.9,2643.39,2657.54,2643.39,3803826000.0,31888068608.0
2018-11-22 10:30:00,2643.77,2643.5,2647.13,2640.15,2009625600.0,17447014400.0
2018-11-22 11:00:00,2643.29,2648.11,2650.61,2639.65,1537329200.0,12759457792.0
2018-11-22 11:30:00,2647.81,2636.96,2649.14,2636.12,1372589600.0,11514585088.0
2018-11-22 13:30:00,2637.17,2636.27,2640.61,2634.52,1188672800.0,10052861952.0
2018-11-22 14:00:00,2635.68,2647.63,2647.63,2635.24,1442758400.0,12251455488.0
2018-11-22 14:30:00,2647.51,2647.4,2653.36,2646.41,1553691200.0,12806750208.0
2018-11-22 15:00:00,2647.62,2645.43,2648.8,2645.17,2022412800.0,16849977344.0
2018-11-23 10:00:00,2640.67,2625.39,2641.85,2624.95,4330314800.0,34087155712.0
2018-11-23 10:30:00,2625.13,2615.48,2627.15,2612.69,2927570000.0,22992738304.0
2018-11-23 11:00:00,2615.41,2612.33,2617.84,2606.44,1855408000.0,15051624448.0
2018-11-23 11:30:00,2612.4,2602.3,2612.4,2600.57,1862172800.0,14115504128.0
2018-11-23 13:30:00,2602.13,2593.7,2604.69,2592.5,1697539200.0,13258506240.0
2018-11-23 14:00:00,2593.54,2578.92,2593.76,2577.48,2515515200.0,19227262976.0
2018-11-23 14:30:00,2578.71,2592.88,2596.89,2578.71,1705561600.0,13174964224.0
2018-11-23 15:00:00,2593.26,2579.48,2593.58,2579.48,2253372800.0,18067890176.0
2018-11-26 10:00:00,2580.84,2587.51,2589.42,2572.26,3873098400.0,30678040576.0
2018-11-26 10:30:00,2587.75,2591.18,2594.98,2581.81,1883524800.0,15611359232.0
2018-11-26 11:00:00,2590.89,2574.75,2591.58,2573.51,1592676800.0,12983083008.0
2018-11-26 11:30:00,2574.86,2586.96,2588.45,2574.82,1077300000.0,8794189824.0
2018-11-26 13:30:00,2587.09,2580.97,2588.4,2578.86,888662400.0,7294697472.0
2018-11-26 14:00:00,2580.91,2576.15,2582.53,2575.14,1037072000.0,8313012224.0
2018-11-26 14:30:00,2576.89,2571.84,2579.63,2568.37,1307499200.0,10444546048.0
2018-11-26 15:00:00,2571.86,2575.81,2575.81,2568.1,1771620800.0,14039162880.0
2018-11-27 10:00:00,2585.83,2578.61,2589.99,2578.61,3299125200.0,27138269184.0
2018-11-27 10:30:00,2578.31,2591.19,2592.29,2576.87,1838395600.0,15134748672.0
